sample_id,condition,species,tissue,expression,viability_percent,dose_mg,replicate,batch,experiment_date,quality_score,status,review_flag,operator,notes
EXP-001,Control,Human,Liver,12.8,96.5,0,R1,B01,2026-07-02,9.4,Passed,false,Alice,Baseline sample
EXP-002,Treated,human,Liver,19.1,91.2,5,R1,B01,2026-07-02,8.8,Passed,false,Alice,Expected response
EXP-003,Treated,HUMAN,Heart,21.7,87.6,10,R2,B02,2026-07-03,7.2,Review,true,Bob,High expression
EXP-004,Control,Mouse,Heart,9.6,97.8,0,R1,B02,2026-07-03,9.6,Passed,false,Bob,Baseline sample
EXP-005,Treated,Mouse ,Lung,,73.1,20,R2,B02,2026-07-03,5.1,Failed,true,Charlie,Expression missing
EXP-006,Control,mouse,Lung,11.4,95.5,0,R2,B03,2026-07-05,9.0,Passed,false,Charlie,Control replicate
EXP-007,Treated,Rat,Kidney,16.9,83.9,5,R1,B03,2026-07-05,7.5,Review,true,Alice,Repeat measurement
EXP-008,Control,Rat,Kidney,10.5,98.2,0,R1,B03,2026-07-05,9.8,Passed,false,Alice,Baseline sample
EXP-009,Treated,Rat ,Liver,18.2,86.3,10,R2,B04,2026-07-08,8.1,Passed,false,Bob,Minor variation
EXP-010,Control,Human,Lung,13.3,94.7,0,R3,B04,2026-07-08,8.9,Passed,false,Bob,Control replicate
EXP-011,Treated,Human,Heart,25.2,88.8,20,R3,B05,2026-07-10,7.7,Review,true,Charlie,Strong response
EXP-012,Control,Mouse,Liver,9.1,98.7,0,R2,B05,2026-07-10,9.7,Passed,false,Charlie,Baseline sample
EXP-013,Treated,Mouse,Kidney,19.8,80.6,20,R3,B06,2026-07-12,4.9,Failed,true,Alice,Low viability
EXP-014,Control,Rat,Heart,11.0,97.1,0,R3,B06,2026-07-12,9.3,Passed,false,Bob,Control replicate
EXP-015,Treated,human,Lung,22.6,,10,R3,B06,2026-07-12,6.8,Review,true,Charlie,Viability missing
EXP-016,Treated,Human,Liver,20.4,90.3,5,R4,B07,2026-07-15,8.5,Passed,false,Alice,Validation run
EXP-017,Control,Mouse,Lung,10.7,96.8,0,R4,B07,2026-07-15,9.2,Passed,false,Bob,Validation control
EXP-018,Treated,Rat,Kidney,17.6,85.4,10,R4,B07,2026-07-15,7.9,Passed,false,Charlie,Validation run
EXP-019,Control,Human,Heart,12.1,97.2,0,R1,B08,2026-07-18,9.5,Passed,false,Alice,Routine control
EXP-020,Treated,Mouse,Liver,18.6,89.7,5,R1,B08,2026-07-18,8.4,Passed,false,Bob,Routine treatment
EXP-021,Treated,Rat,Lung,20.3,84.1,10,R2,B08,2026-07-18,7.6,Review,true,Charlie,Manual review
EXP-022,Control,Human,Kidney,11.8,96.4,0,R2,B09,2026-07-20,9.1,Passed,false,Alice,Routine control
EXP-023,Treated,Mouse,Heart,23.5,82.7,20,R3,B09,2026-07-20,6.9,Review,true,Bob,Strong response
